Year,ID,Name,Import,Export,ImpIDA,ImpIDB,ImpIDC,ImpIDD,ImpIDE,ImpIDF,ImpIDG,ImpIDH,ImpIDI,ImpIDJ,ImportA,ImportB,ImportC,ImportD,ImportE,ImportF,ImportG,ImportH,ImportI,ImportJ,ExpIDA,ExpIDB,ExpIDC,ExpIDD,ExpIDE,ExpIDF,ExpIDG,ExpIDH,ExpIDI,ExpIDJ,ExportA,ExportB,ExportC,ExportD,ExportE,ExportF,ExportG,ExportH,ExportI,ExportJ
2017,500,Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,504,Morocco,361293.941,182.431,724,012,,,,,,,,,343755.276,17538.665,,,,,,,,,012,,,,,,,,,,182.431,,,,,,,,,
2017,508,Mozambique,269376.285,214742.684,710,894,156,784,,,,,,,269129.731,197.027,43.556,5.971,,,,,,,710,716,072,426,894,748,,,,,165980.569,23470.694,11301.041,10049.391,3939.865,1.124,,,,
2017,512,Oman,141.087,,842,784,410,,,,,,,,95.014,45.982,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,516,Namibia,75221.973,1224.616,710,894,,,,,,,,,57958.393,17263.58,,,,,,,,,710,894,024,,,,,,,,762.183,461.404,1.029,,,,,,,
2017,520,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,524,Nepal,5413.941,,699,,,,,,,,,,5413.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,528,Netherlands,884451.028,958370.071,276,579,056,826,208,100,203,,,,607711.288,176173.116,86999.954,11583.932,1418.119,399.6,165.019,,,,056,826,276,579,203,100,,,,,484779.836,415865.607,53376.753,4003.941,330.901,13.033,,,,
2017,530,Netherlands Antilles (...2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,531,Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,533,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,534,Saint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,535,Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,540,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,548,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
